Year,Area_Planted,Yield,Price
1960,81425000,54.7,
1961,65919000,62.4,44.95666667
1962,65017000,64.7,48.65333333
1963,68771000,67.9,53.77083333
1964,65823000,62.9,54.63166667
1965,65171000,74.1,55.6725
1966,66347000,73.1,58.29666667
1967,71156000,80.1,54.1025
1968,65126000,79.5,47.96333333
1969,64264000,85.9,52.28666667
1970,66863000,72.4,58.4
1971,74179000,88.1,58.4
1972,67126000,97,55.7525
1973,72253000,91.3,97.82166667
1974,77935000,71.9,131.2258333
1975,78719000,86.4,119.635
1976,84588000,88,112.3716667
1977,84328000,90.8,95.35
1978,81675000,101,100.7425
1979,81394000,109.5,115.5225
1980,84043000,91,125.2625
1981,84097000,108.9,130.7808333
1982,81857000,113.2,109.2625
1983,60207000,81.1,136.0166667
1984,80517000,106.7,135.9425
1985,83398000,118,112.2333333
1986,76580000,119.4,87.55833333
1987,66200000,119.8,75.69666667
1988,67717000,84.6,106.8908333
1989,72322000,116.3,111.5241667
1990,74166000,118.5,109.2758333
1991,75957000,108.6,107.42
1992,79311000,131.5,104.2458333
1993,73239000,100.7,102.09
1994,78921000,138.6,107.55
1995,71479000,113.5,123.4875
1996,79229000,127.1,165.8091667
1997,79537000,126.7,117.0916667
1998,80165000,134.4,101.9866667
1999,77386000,133.8,90.21666667
2000,79551000,136.9,88.53416667
2001,75702000,138.2,89.64083333
2002,78894000,129.3,99.27083333
2003,78603000,142.2,105.3700758
2004,80929000,160.3,111.8034797
2005,81779000,147.9,98.67179117
2006,78327000,149.1,121.8510178
2007,93527000,150.7,163.6649145
2008,85982000,153.3,223.1168277
2009,86382000,164.4,165.5096333
2010,88192000,152.6,185.9142083
2011,91936000,146.8,291.6840733
2012,97291000,123.1,298.4169641
2013,95365000,158.1,259.3892232
2014,90597000,171,192.8812195
