Year,Area_Harvested_Ha,Yield_Hg_Ha,Price_Per_Ton_Dollars_HRW
1960,,,57.99
1961,20870000,16070.44,58.61
1962,17680000,16808.82,64.33
1963,18415008,16949.16,64.49
1964,20138000,17344.32,67.53
1965,20056000,17852.52,59.46
1966,20077392,17688.48,62.95
1967,23614288,17375.41,65.71
1968,22162304,19115.96,62.77
1969,19079040,20579.63,58.39
1970,17629488,20865.04,54.90
1971,19297168,22828.63,61.73
1972,19142576,21983.26,69.81
1973,21912608,21248.4,139.81
1974,26453120,18333.07,179.71
1975,28124848,20581.96,149.06
1976,28702736,20374.78,132.92
1977,26986496,20629.23,103.22
1978,22862960,21135.78,127.75
1979,25274512,22979.9,160.29
1980,28783600,22512.65,172.73
1981,32635008,23228.52,174.96
1982,31540304,23858.77,160.36
1983,24843296,26509.33,157.42
1984,27085008,26072.73,152.33
1985,26184000,25196.69,135.83
1986,24559008,23167.47,114.92
1987,22646000,25329.77,112.90
1988,21525008,22912.88,145.20
1989,25167008,22024.07,169.24
1990,27965000,26566.78,135.52
1991,23392000,23037.79,128.67
1992,25398800,26432.74,151.20
1993,25378900,25699.3,140.24
1994,24997000,25270.23,149.73
1995,24685000,24064.82,176.98
1996,25414000,24388.92,207.60
1997,25414000,26574.33,159.48
1998,23878000,29033.84,126.13
1999,21781000,28725.63,112.04
2000,21474065,28238.42,114.09
2001,19616538,27017.99,126.81
2002,18544515,23567.06,148.08
2003,21474070,29711.77,146.14
2004,20221955,29026.39,156.88
2005,20276588,28230.58,152.35
2006,18939492,25985.94,192.04
2007,20638785,27046.34,255.21
2008,22540828,30174.62,326.03
2009,20191200,29897.05,224.07
2010,19270930,31167.36,223.58
2011,18496360,29418.39,316.26
2012,19797644,31153.9,313.24
2013,18274206,31720.48,312.25
2014,,,284.90
